coord_lat,coord_lon,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
64.42,-173.23,500,Rain,light rain,10n,stations,41.26,1005.91,99,41.26,41.26,,12.12,185.293,100,1569946936,,,0.007,RU,1570038300,1570078757,43200,4031574,Provideniya,200
-53.16,-70.91,800,Clear,clear sky,01d,stations,41.45,1009,48,41,42.01,10000,19.46,240,0,1569946936,1,8487,0.0063,CL,1569924652,1569970543,-10800,3874787,Punta Arenas,200
-2.57,150.8,800,Clear,clear sky,01n,stations,83.2,1010.07,67,83.2,83.2,,2.42,57.354,10,1569946936,,,0.0065,PG,1569958944,1570002615,36000,2094342,Kavieng,200
39.51,-90.4,800,Clear,clear sky,01d,stations,85.1,1016,58,82,87.01,16093,12.75,230,1,1569946503,1,4508,0.0179,US,1569931044,1569973504,-18000,4252975,Barrow,200
69.49,88.39,800,Clear,clear sky,01n,stations,28.4,1012,86,28.4,28.4,10000,13.42,120,0,1569946608,1,8951,0.0084,RU,1569889120,1569929629,25200,1490256,Talnakh,200
-54.81,-68.31,521,Rain,shower rain,09d,stations,38.17,1006,69,37.4,39.2,10000,23.04,230,75,1569946429,1,8303,0.0082,AR,1569923952,1569969995,-10800,3833367,Ushuaia,200
-22.97,-42.02,800,Clear,clear sky,01d,stations,76.14,1018,60,75.2,77,10000,23.04,100,0,1569946545,1,8326,0.0103,BR,1569918531,1569962800,-10800,3471451,Arraial do Cabo,200
60.35,102.28,803,Clouds,broken clouds,04n,stations,26.14,1026.83,81,26.14,26.14,,3.85,229.547,62,1569946937,,,0.0131,RU,1569885290,1569926794,25200,2013727,Vanavara,200
-34.29,146.06,800,Clear,clear sky,01n,stations,54.99,1025,47,53.6,57.2,10000,10.29,110,0,1569946938,1,9529,0.0063,AU,1569959533,1570004300,36000,2164422,Griffith,200
58.6,99.18,803,Clouds,broken clouds,04n,stations,29.02,1028.17,96,29.02,29.02,,4.59,214.902,62,1569946938,,,0.0077,RU,1569885971,1569927600,25200,1503037,Kodinsk,200
59.7,30.79,803,Clouds,broken clouds,04n,stations,47.73,989,57,45,50,10000,15.66,220,75,1569946938,1,8926,0.0062,RU,1569902450,1569943940,10800,546105,Nikolskoye,200
-42.78,147.06,803,Clouds,broken clouds,04n,stations,40.55,1025,93,37.99,43,10000,8.05,310,75,1569946938,1,9545,0.0077,AU,1569959070,1570004284,36000,2155415,New Norfolk,200
-20.73,139.49,800,Clear,clear sky,01n,stations,78.8,1019,13,78.8,78.8,10000,10.29,160,0,1569946939,1,9495,0.0057,AU,1569961379,1570005608,36000,2065594,Mount Isa,200
10.26,-85.58,802,Clouds,scattered clouds,03d,stations,86,1011,70,86,86,10000,6.93,140,40,1569946939,1,7210,0.007,CR,1569929452,1569972783,-21600,3621607,Santa Cruz,200
56.17,113.57,803,Clouds,broken clouds,04n,stations,13.18,1026.81,99,13.18,13.18,,2.51,266.577,83,1569946939,,,0.0081,RU,1569968952,1570010473,28800,2016907,Severomuysk,200
49.25,6.17,310,Drizzle,light intensity drizzle rain,09d,stations,60.55,1004,93,57,64.4,10000,10.29,230,75,1569946940,1,6486,0.0093,FR,1569908052,1569950153,7200,3014080,Hagondange,200
18.42,-64.62,802,Clouds,scattered clouds,03d,stations,86.97,1013,70,84.99,89.01,16093,8.05,150,40,1569946924,1,8799,0.0071,VG,1569924529,1569967647,-14400,3577430,Road Town,200
-23.12,-134.97,500,Rain,light rain,10d,stations,67.9,1017.2,83,67.9,67.9,,17.87,142.816,75,1569946940,,,0.0118,PF,1569940821,1569985116,-32400,4030556,Rikitea,200
56.17,107.45,803,Clouds,broken clouds,04n,stations,25.6,1030.88,93,25.6,25.6,,2.21,286.589,61,1569946941,,,0.0067,RU,1569970423,1570011939,28800,2020584,Magistralnyy,200
-35.02,117.88,804,Clouds,overcast clouds,04n,stations,57.2,1021,82,57.2,57.2,10000,8.05,80,90,1569946941,1,9484,0.0086,AU,1569966273,1570011084,28800,2077963,Albany,200
-24.87,113.63,800,Clear,clear sky,01n,stations,68,1019,94,68,68,10000,16.11,180,0,1569946942,1,9505,0.0074,AU,1569967506,1570011890,28800,2074865,Carnarvon,200
-15.19,12.15,800,Clear,clear sky,01d,stations,69.8,1009,77,69.8,69.8,10000,14.99,240,0,1569946942,1,2155,0.0065,AO,1569905661,1569949674,3600,3347019,Namibe,200
-37.62,-73.65,500,Rain,light rain,10d,stations,49.18,1021.13,79,49.18,49.18,,10.92,28.547,27,1569946942,,,0.0093,CL,1569925819,1569970691,-10800,3883457,Lebu,200
-42.48,-73.76,803,Clouds,broken clouds,04d,stations,41,1020,80,41,41,10000,8.05,290,75,1569946942,1,8512,0.0058,CL,1569925716,1569970846,-10800,3896218,Castro,200
-0.74,-90.35,803,Clouds,broken clouds,04d,stations,71.71,1014,73,69.01,73.4,10000,20.8,150,75,1569946943,1,8521,0.0065,EC,1569930453,1569974071,-21600,3652764,Puerto Ayora,200
-34.53,20.04,801,Clouds,few clouds,02d,stations,62.6,1022,59,62.6,62.6,,13.87,160,21,1569946943,1,1966,0.0072,ZA,1569903427,1569948122,7200,1015776,Bredasdorp,200
-9.8,-139.03,500,Rain,light rain,10d,stations,78.7,1011.66,78,78.7,78.7,,14.18,93.047,19,1569946944,,,0.0138,PF,1569942006,1569985879,-34200,4020109,Atuona,200
-16.48,-151.75,804,Clouds,overcast clouds,04d,stations,76,1014.37,80,76,76,,20.71,135.337,100,1569946944,,,0.0057,PF,1569944956,1569989033,-36000,4034551,Faanui,200
-2.92,-39.92,800,Clear,clear sky,01d,stations,90.76,1010.59,43,90.76,90.76,,17.9,81.859,0,1569946944,,,0.0061,BR,1569918324,1569962000,-10800,3393692,Itarema,200
-33.35,149.98,800,Clear,clear sky,01n,stations,47.52,1027,71,41,51.01,,1.99,273,0,1569946945,3,2007728,0.009,AU,1569958615,1570003337,36000,2152668,Portland,200
-2.1,-56.49,803,Clouds,broken clouds,04d,stations,97.96,1008.97,32,97.96,97.96,,6.15,76.913,55,1569946945,,,0.0053,BR,1569922310,1569965965,-10800,3386467,Terra Santa,200
15.86,-97.07,803,Clouds,broken clouds,04d,stations,86,1011,66,86,86,24140,1.19,252.889,75,1569946946,1,7157,0.0074,MX,1569932284,1569975465,-18000,3520994,Puerto Escondido,200
-27.43,29.16,804,Clouds,overcast clouds,04n,stations,56.02,1019.02,42,56.02,56.02,,11.97,109.861,100,1569946946,,,0.0066,ZA,1569901382,1569945791,7200,942701,Vrede,200
18.69,12.92,802,Clouds,scattered clouds,03d,stations,102.1,1005.62,10,102.1,102.1,,11.45,26.95,44,1569946947,,,0.0061,NE,1569905921,1569949045,3600,2446796,Bilma,200
23.99,-104.67,803,Clouds,broken clouds,04d,stations,64.85,1023,59,62.6,66.99,19312,3.33,131.388,75,1569946947,1,7113,0.0063,MX,1569934220,1569977176,-18000,4011743,Constitucion,200
-7.93,-14.42,802,Clouds,scattered clouds,03d,stations,73.3,1012.66,79,73.3,73.3,,17.76,117.901,34,1569946947,,,0.0062,SH,1569912138,1569955948,0,2411397,Georgetown,200
-23.35,47.6,500,Rain,light rain,10n,stations,72.94,1014.86,94,72.94,72.94,,4.45,24.074,45,1569946948,,,0.0069,MG,1569897031,1569941293,10800,1054329,Vangaindrano,200
3.07,172.79,801,Clouds,few clouds,02n,stations,84.46,1008.81,63,84.46,84.46,,7.92,120.728,16,1569946948,,,0.0059,KI,1569953745,1569997261,43200,2110227,Butaritari,200
29.88,-97.67,803,Clouds,broken clouds,04d,stations,84.92,1016,58,82,88,16093,11.41,140,75,1569946855,1,3391,0.009,US,1569932627,1569975410,-18000,4707295,Lockhart,200
19.71,-155.08,501,Rain,moderate rain,10d,stations,71.31,1014,78,68,75.2,16093,5.82,260,90,1569946834,1,7881,0.0088,US,1569946261,1569989327,-36000,5855927,Hilo,200
-15.94,-5.72,804,Clouds,overcast clouds,04d,stations,66.64,1015.77,76,66.64,66.64,,18.61,117.779,100,1569946949,,,0.0061,SH,1569909937,1569953974,0,3370903,Jamestown,200
54.54,52.8,804,Clouds,overcast clouds,04n,stations,50.26,1013.62,64,50.26,50.26,,19.69,187.774,100,1569946949,,,0.0057,RU,1569896988,1569938840,10800,571170,Bugulma,200
25.95,-105.37,800,Clear,clear sky,01d,stations,66.1,1013.43,72,66.1,66.1,,4.05,179.366,0,1569946950,,,0.0084,MX,1569934417,1569977315,-18000,3984078,Santa Maria del Oro,200
-4.62,55.45,802,Clouds,scattered clouds,03n,stations,80.6,1011,88,80.6,80.6,10000,8.05,150,40,1569946950,1,2218,0.0071,SC,1569895419,1569939137,14400,241131,Victoria,200
29.7,-9.73,801,Clouds,few clouds,02d,stations,71.86,1015.01,73,71.86,71.86,,12.66,351.459,20,1569946950,,,0.0062,MA,1569911511,1569954325,3600,2527089,Tiznit,200
-33.92,25.57,800,Clear,clear sky,01n,stations,62.6,1025,77,62.6,62.6,10000,6.93,150,0,1569946951,1,1973,0.0059,ZA,1569902115,1569946781,7200,964420,Port Elizabeth,200
-18.54,25.64,803,Clouds,broken clouds,04n,stations,88.42,1007,7,88.42,88.42,,8.34,221.332,62,1569946951,,,0.0113,BW,1569902375,1569946487,7200,933178,Pandamatenga,200
46.77,-56.17,803,Clouds,broken clouds,04d,stations,50,1014,66,50,50,10000,23.04,320,75,1569946952,1,6582,0.0077,PM,1569922971,1569965151,-7200,3424934,Saint-Pierre,200
18.62,-100.35,802,Clouds,scattered clouds,03d,stations,73.48,1014.68,90,73.48,73.48,,0.94,201.186,46,1569946952,,,0.0064,MX,1569933108,1569976214,-18000,3981460,Coahuayana,200
-21.2,-175.2,520,Rain,light intensity shower rain,09n,stations,73.4,1015,100,73.4,73.4,10000,3.36,60,90,1569946952,1,7285,0.0064,TO,1570036847,1570081156,46800,4032243,Vaini,200
20.22,-96.78,802,Clouds,scattered clouds,03d,stations,81.4,1013.37,76,81.4,81.4,,5.84,287.941,27,1569946953,,,0.0076,MX,1569932273,1569975336,-18000,3522788,Nautla,200
39.95,-94.76,802,Clouds,scattered clouds,03d,stations,83.28,1015,66,82,84.2,16093,16.11,210,40,1569946953,1,4042,0.0076,US,1569932099,1569974541,-18000,4407665,Kodiak,200
78.22,15.64,801,Clouds,few clouds,02n,stations,24.8,1027,73,24.8,24.8,10000,2.35,38.301,20,1569946953,1,1663,0.0063,SJ,1569907789,1569945871,7200,2729907,Longyearbyen,200
-20.34,57.76,801,Clouds,few clouds,02n,stations,73.17,1020,78,73,73.4,10000,8.05,90,20,1569946953,1,2061,0.0063,MU,1569894643,1569938805,14400,1106677,Bambous Virieux,200
-30.86,30.37,802,Clouds,scattered clouds,03n,stations,59.44,1024.04,73,59.44,59.44,,10.29,161.08,50,1569946954,,,0.0065,ZA,1569901027,1569945565,7200,978895,Margate,200
70.47,-68.59,500,Rain,light rain,10d,stations,35.6,1013,100,35.6,35.6,3219,5.82,350,90,1569946954,1,776,0.0081,CA,1569926979,1569967102,-14400,5924351,Clyde River,200
-21.36,55.77,803,Clouds,broken clouds,04n,stations,70.72,1019,69,62.01,75.2,10000,4.7,10,75,1569946954,1,2127,0.006,RE,1569895104,1569939299,14400,935215,Saint-Philippe,200
-36.72,-73.12,804,Clouds,overcast clouds,04d,stations,48.2,1021,81,48.2,48.2,10000,6.93,90,90,1569946830,1,8499,0.0091,CL,1569925713,1569970542,-10800,3870282,Talcahuano,200
