coord_lat,coord_lon,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
16.97,7.99,800,Clear,clear sky,01d,stations,80.6,1013,51,80.6,80.6,10000,6.02,294.237,1,1561702009,1,9727,0.0084,NE,1561697825,1561745107,3600,2448085,Agadez,200
51.5,156.52,804,Clouds,overcast clouds,04d,stations,41.45,1002.31,93,41.45,41.45,,5.59,201.87,100,1561702239,,,0.0055,RU,1561655923,1561715705,43200,2122293,Ozernovskiy,200
36.9,-104.44,800,Clear,clear sky,01n,stations,63.46,1027,55,57.99,69.8,16093,8.05,190,1,1561702240,1,5718,0.0099,US,1561722042,1561774864,-21600,5486795,Raton,200
20.76,-105.33,802,Clouds,scattered clouds,03n,stations,81.61,1013,58,78.01,84.2,19312,4.7,220,40,1561702240,1,7156,0.0076,MX,1561724579,1561772755,-18000,4016734,Bucerias,200
-33.93,18.42,802,Clouds,scattered clouds,03d,stations,54.5,1013,93,53.01,57,10000,13.87,360,40,1561702106,1,1899,0.0076,ZA,1561701131,1561736794,7200,3369157,Cape Town,200
72.79,-56.15,800,Clear,clear sky,01d,stations,32.63,1020.66,83,32.63,32.63,,8.25,25.363,0,1561702241,,,0.0062,GL,0,0,-7200,3418910,Upernavik,200
-23.12,-134.97,803,Clouds,broken clouds,04n,stations,75.11,1015.33,83,75.11,75.11,,19.13,18.344,83,1561702241,,,0.0072,PF,1561650075,1561688664,-32400,4030556,Rikitea,200
-6.64,-51.99,800,Clear,clear sky,01n,stations,68.09,1012.1,87,68.09,68.09,,1.99,117.827,0,1561702241,,,0.0086,BR,1561714734,1561756993,-10800,3388847,Sao Felix do Xingu,200
53.59,142.95,800,Clear,clear sky,01d,stations,59.27,1000.85,56,59.27,59.27,,10.38,278.097,0,1561702242,,,0.0065,RU,1561658436,1561719707,39600,2122614,Okha,200
-54.81,-68.31,802,Clouds,scattered clouds,03n,stations,28.4,999,92,28.4,28.4,10000,17.22,230,40,1561702208,1,8303,0.0162,AR,1561726738,1561752824,-10800,3833367,Ushuaia,200
18.9,-3.53,800,Clear,clear sky,01d,stations,91.13,1007.69,31,91.13,91.13,,7.78,256.77,0,1561702242,,,0.0075,ML,1561700365,1561748098,0,2460954,Araouane,200
19.71,-155.08,804,Clouds,overcast clouds,04n,stations,71.33,1014,69,59,78.8,16093,6.93,130,90,1561701719,1,7881,0.0061,US,1561650231,1561698162,-36000,5855927,Hilo,200
-42.78,147.06,803,Clouds,broken clouds,04d,stations,62.51,1017,55,62.01,63,10000,13.87,10,75,1561701703,1,9545,0.0076,AU,1561671804,1561704366,36000,2155415,New Norfolk,200
-21.21,-159.78,500,Rain,light rain,10n,stations,69.8,1016,77,69.8,69.8,10000,8.05,130,100,1561701477,1,7271,0.0071,CK,1561655800,1561694850,-36000,4035715,Avarua,200
68.22,-135.01,802,Clouds,scattered clouds,03d,stations,57.2,1018,41,57.2,57.2,24140,5.82,40,40,1561701715,1,796,0.0081,CA,0,0,-21600,5882953,Aklavik,200
22.08,-159.32,501,Rain,moderate rain,10n,stations,77.31,1013,94,75.99,78.8,16093,6.93,160,90,1561701703,1,7873,0.0064,US,1561650960,1561699469,-36000,5848280,Kapaa,200
-34.48,-54.34,800,Clear,clear sky,01n,stations,46.31,1014.11,82,46.31,46.31,,10.96,358.832,0,1561702057,,,0.0087,UY,1561718679,1561754176,-10800,3440777,Rocha,200
-8.12,34.25,800,Clear,clear sky,01d,stations,60.17,1019.3,62,60.17,60.17,,9.17,136.156,0,1561702243,,,0.0063,TZ,1561694189,1561736137,10800,160141,Dunda,200
-41.43,147.14,804,Clouds,overcast clouds,04d,stations,56.37,1021,71,55.99,57.2,10000,16.11,350,90,1561702092,1,9549,0.0064,AU,1561671518,1561704613,36000,2160517,Launceston,200
-15.94,-5.72,804,Clouds,overcast clouds,04n,stations,69.35,1019.18,68,69.35,69.35,,17.47,130.362,85,1561701935,,,0.0059,SH,1561704625,1561744889,0,3370903,Jamestown,200
56.45,43.2,500,Rain,light rain,10d,stations,55.72,993,93,55,57,7000,13.42,110,90,1561702244,1,9037,0.0062,RU,1561681171,1561744858,10800,503428,Konevo,200
-21.36,55.77,800,Clear,clear sky,01d,stations,74.84,1020,57,66.99,78.8,10000,21.92,120,10,1561701943,1,2127,0.0065,RE,1561690489,1561729506,14400,935215,Saint-Philippe,200
-3.36,135.5,500,Rain,light rain,10d,stations,80.69,1008.17,75,80.69,80.69,,5.14,190.541,73,1561702245,,,0.0067,ID,1561669390,1561712329,32400,1634614,Nabire,200
-33.64,115.35,803,Clouds,broken clouds,04d,stations,55.94,1015,38,53.01,59,,14.88,216.765,57,1561701705,3,2011706,0.0071,AU,1561677823,1561713570,28800,2075265,Busselton,200
30.04,-94.42,800,Clear,clear sky,01n,stations,72.54,1021,88,69.8,77,16093,3.98,190.38,1,1561701707,1,3476,0.0066,US,1561720731,1561771365,-18000,4732862,Nome,200
-12.93,34.3,800,Clear,clear sky,01d,stations,63.95,1021.75,55,63.95,63.95,,5.14,149.383,0,1561702245,,,0.0057,MW,1561694689,1561735613,7200,924705,Nkhotakota,200
-53.16,-70.91,800,Clear,clear sky,01n,stations,22.53,1002,85,21.2,24.01,10000,9.17,240,0,1561701938,1,8487,0.0064,CL,1561726781,1561754028,-10800,3874787,Punta Arenas,200
65.61,-37.64,804,Clouds,overcast clouds,04d,stations,42.8,1012,87,42.8,42.8,,1.12,,96,1561701974,1,81,0.0077,GL,1561691397,1561773441,-7200,3424607,Tasiilaq,200
15.32,-92.66,801,Clouds,few clouds,02n,stations,78.8,1011,100,78.8,78.8,12874,5.08,45.304,20,1561702246,1,7171,0.0057,MX,1561722174,1561769077,-18000,3527768,Escuintla,200
-41.87,-73.83,800,Clear,clear sky,01n,stations,28.4,1011,100,28.4,28.4,10000,5.82,210,0,1561702011,1,8512,0.0065,CL,1561724636,1561757575,-14400,3899695,Ancud,200
-34.42,19.24,500,Rain,light rain,10d,stations,54.79,1007,71,53.01,57,,11.01,324,74,1561701967,3,2006131,0.0055,ZA,1561701010,1561736522,7200,3366880,Hermanus,200
3.07,172.79,800,Clear,clear sky,01d,stations,84.83,1006.73,65,84.83,84.83,,5.75,142.064,10,1561701704,,,0.0102,KI,1561659774,1561704044,43200,2110227,Butaritari,200
-41.75,171.6,802,Clouds,scattered clouds,03n,stations,41.99,1036.5,85,41.99,41.99,,4.32,187.43,46,1561702131,,,0.0069,NZ,1561665710,1561698679,43200,2206900,Westport,200
28.42,30.79,800,Clear,clear sky,01d,stations,84.83,1008.15,40,84.83,84.83,,13.4,7.869,0,1561702247,,,0.0057,EG,1561690905,1561741082,7200,352628,Matay,200
-1.02,-79.44,801,Clouds,few clouds,02n,stations,73.13,1012.8,86,73.13,73.13,,1.12,150.227,16,1561701985,,,0.0048,EC,1561720741,1561764164,-18000,3652567,San Cristobal,200
-22.45,18.97,800,Clear,clear sky,01d,stations,55.4,1025,43,55.4,55.4,,5.82,360,8,1561702248,1,2256,0.0068,NA,1561699452,1561738209,7200,3357247,Gobabis,200
-9.8,-139.03,500,Rain,light rain,10n,stations,80.69,1012.03,79,80.69,80.69,,15.48,91.051,12,1561701459,,,0.0062,PF,1561649548,1561691140,-34200,4020109,Atuona,200
48,-66.68,500,Rain,light rain,10n,stations,55.49,1018.08,99,55.49,55.49,,2.08,110.599,100,1561702248,,,0.0085,CA,1561710565,1561768213,-10800,6696258,Campbellton,200
77.48,-69.36,801,Clouds,few clouds,02d,stations,42.53,1025.85,53,42.53,42.53,,9.1,68.316,17,1561701710,,,0.0104,GL,0,0,-10800,3831208,Qaanaaq,200
-5.35,-49.1,800,Clear,clear sky,01n,stations,71.6,1012,88,71.6,71.6,10000,1.99,122.997,0,1561702249,1,8403,0.0073,BR,1561713906,1561756433,-10800,3395503,Maraba,200
-8.15,159.59,500,Rain,light rain,10d,stations,82.31,1007.44,78,82.31,82.31,,5.32,97.889,79,1561702122,,,0.0052,SB,1561664107,1561706048,39600,2109528,Buala,200
22.07,81.69,804,Clouds,overcast clouds,04d,stations,89.51,1000.53,54,89.51,89.51,,9.33,270.866,99,1561702249,,,0.0063,IN,1561679524,1561728028,19800,1262484,Mungeli,200
-34.53,20.04,803,Clouds,broken clouds,04d,stations,57.96,1010,72,57,59,,11.41,360,78,1561701713,1,1966,0.0064,ZA,1561700835,1561736313,7200,1015776,Bredasdorp,200
-38.95,-68.06,804,Clouds,overcast clouds,04n,stations,50,1007,76,50,50,10000,5.82,270,90,1561702169,1,8310,0.011,AR,1561722710,1561756732,-10800,3843123,Neuquen,200
73.51,80.55,803,Clouds,broken clouds,04d,stations,33.53,1015.32,94,33.53,33.53,,3.4,263.689,68,1561701939,,,0.0063,RU,0,0,25200,1507390,Dikson,200
-19,-57.72,800,Clear,clear sky,01n,stations,70.07,1009.6,69,70.07,70.07,,4.72,49.366,0,1561702250,,,0.0063,BO,1561717452,1561757025,-14400,3465342,Puerto Quijarro,200
